route_id,time_category,counts,counts_average,time_category_duration,frequency,route_no
94,non_peak_2,6,6,300,50,R7DOWN
94,peak_1,4,4,240,60,R7DOWN
94,peak_2,4,4,240,60,R7DOWN
95,non_peak_1,2,2,480,240,R7UP
95,non_peak_2,6,6,300,50,R7UP
95,peak_1,4,4,240,60,R7UP
95,peak_2,5,5,240,48,R7UP
96,non_peak_1,2,2,480,240,R8DOWN
96,non_peak_2,6,6,300,50,R8DOWN
96,peak_1,4,4,240,60,R8DOWN
96,peak_2,2,2,240,120,R8DOWN
97,non_peak_2,2,2,300,150,R8UP
97,peak_1,2,2,240,120,R8UP
97,peak_2,2,2,240,120,R8UP
98,non_peak_2,2,2,300,150,R9DOWN
98,peak_1,3,3,240,80,R9DOWN
99,non_peak_1,2,2,480,240,R9UP
99,non_peak_2,2,2,300,150,R9UP
99,peak_1,2,2,240,120,R9UP
100,non_peak_1,1,1,480,480,R61DOWN
100,non_peak_2,2,2,300,150,R61DOWN
100,peak_1,3,3,240,80,R61DOWN
100,peak_2,2,2,240,120,R61DOWN
101,non_peak_1,2,2,480,240,R61UP
101,non_peak_2,4,4,300,75,R61UP
101,peak_1,2,2,240,120,R61UP
102,non_peak_1,1,1,480,480,R62DOWN
102,non_peak_2,2,2,300,150,R62DOWN
102,peak_1,3,3,240,80,R62DOWN
102,peak_2,2,2,240,120,R62DOWN
103,non_peak_1,2,2,480,240,R62UP
103,non_peak_2,3,3,300,100,R62UP
103,peak_1,2,2,240,120,R62UP
103,peak_2,1,1,240,240,R62UP
104,non_peak_1,2,2,480,240,R63DOWN
104,non_peak_2,4,4,300,75,R63DOWN
104,peak_1,5,5,240,48,R63DOWN
104,peak_2,5,5,240,48,R63DOWN
105,non_peak_1,3,3,480,160,R63UP
105,non_peak_2,4,4,300,75,R63UP
105,peak_1,5,5,240,48,R63UP
105,peak_2,4,4,240,60,R63UP
106,non_peak_1,3,3,480,160,R64DOWN
106,non_peak_2,4,4,300,75,R64DOWN
106,peak_1,2,2,240,120,R64DOWN
107,non_peak_1,3,3,480,160,R64UP
107,non_peak_2,3,3,300,100,R64UP
107,peak_1,2,2,240,120,R64UP
107,peak_2,1,1,240,240,R64UP
108,non_peak_1,1,1,480,480,R65DOWN
108,non_peak_2,2,2,300,150,R65DOWN
108,peak_1,3,3,240,80,R65DOWN
108,peak_2,2,2,240,120,R65DOWN
109,non_peak_1,1,1,480,480,R65UP
109,non_peak_2,3,3,300,100,R65UP
109,peak_1,3,3,240,80,R65UP
109,peak_2,2,2,240,120,R65UP
110,non_peak_1,2,2,480,240,R66DOWN
110,non_peak_2,6,6,300,50,R66DOWN
110,peak_1,6,6,240,40,R66DOWN
110,peak_2,6,6,240,40,R66DOWN
111,non_peak_1,3,3,480,160,R66UP
111,non_peak_2,6,6,300,50,R66UP
111,peak_1,6,6,240,40,R66UP
111,peak_2,5,5,240,48,R66UP
112,non_peak_1,2,2,480,240,R68DOWN
112,non_peak_2,5,5,300,60,R68DOWN
112,peak_1,3,3,240,80,R68DOWN
