route_no,route_id,time_category,counts,counts_average,time_category_duration,frequency
144AUP,148,non_peak_1,1,1,480,480
144AUP,148,non_peak_2,1,1,300,300
144AUP,148,peak_1,2,2,240,120
144AUP,148,peak_2,2,2,240,120
144BDOWN,141,non_peak_1,6,6,480,80
144BDOWN,141,non_peak_2,1,1,300,300
144BUP,142,non_peak_3,5,5,180,36
144DOWN,143,non_peak_1,2,2,480,240
144DOWN,143,non_peak_2,8,8,300,38
144DOWN,143,non_peak_3,2,2,180,90
144DOWN,143,peak_1,7,7,240,35
144DOWN,143,peak_2,6,6,240,40
144KDOWN,149,non_peak_2,1,1,300,300
144KDOWN,149,peak_1,2,2,240,120
144KDOWN,149,peak_2,2,2,240,120
144KUP,150,non_peak_1,1,1,480,480
144KUP,150,non_peak_2,2,2,300,150
144KUP,150,peak_1,1,1,240,240
144KUP,150,peak_2,1,1,240,240
144UP,144,non_peak_1,4,4,480,120
144UP,144,non_peak_2,8,8,300,38
144UP,144,peak_1,7,7,240,35
144UP,144,peak_2,6,6,240,40
145DOWN,151,non_peak_1,1,1,480,480
145DOWN,151,non_peak_2,2,2,300,150
145DOWN,151,non_peak_3,1,1,180,180
145DOWN,151,peak_1,2,2,240,120
145DOWN,151,peak_2,1,1,240,240
145UP,152,non_peak_1,2,2,480,240
145UP,152,non_peak_2,2,2,300,150
145UP,152,peak_1,1,1,240,240
145UP,152,peak_2,2,2,240,120
146DOWN,153,non_peak_1,4,4,480,120
146DOWN,153,non_peak_2,10,10,300,30
146DOWN,153,non_peak_3,4,4,180,45
146DOWN,153,peak_1,10,10,240,24
146DOWN,153,peak_2,8,8,240,30
146UP,154,non_peak_1,6,6,480,80
146UP,154,non_peak_2,10,10,300,30
146UP,154,non_peak_3,2,2,180,90
146UP,154,peak_1,10,10,240,24
146UP,154,peak_2,8,8,240,30
147DOWN,155,non_peak_1,1,1,480,480
147DOWN,155,non_peak_2,1,1,300,300
147DOWN,155,peak_1,1,1,240,240
147UP,156,non_peak_2,1,1,300,300
147UP,156,peak_1,1,1,240,240
147UP,156,peak_2,1,1,240,240
